,Game Date,Game Time,Matchup,Team,Player Name,Current Status,Reason
0,08/07/2020,01:00 (ET),UTA@SAS,San Antonio Spurs,"Forbes, Bryn",Out,Injury/Illness - Right Quad; Tightness
1,,,,,"Lyles, Trey",Out,"Injury/Illness - "" ""; Appendectomy"
2,,,,,"Zeller, Tyler",Out,Injury/Illness - Right Knee; Bone Contusion
3,,,,Utah Jazz,"Conley, Mike",Out,Injury/Illness - Right Knee; soreness
4,,,,,"Gobert, Rudy",Out,Rest - Rest
5,,,,,"Ingles, Joe",Available,Injury/Illness - Right Foot; soreness
6,,,,,"Mitchell, Donovan",Out,Injury/Illness - Left Lower leg; peroneal strain
7,,,,,"O'Neale, Royce",Out,Injury/Illness - Right Calf; soreness
8,,,,,"Williams-Goss, Nigel",Out,Injury/Illness - Left Ankle; sprain
9,,04:00 (ET),OKC@MEM,Memphis Grizzlies,"Jackson Jr., Jaren",Out,Injury/Illness - Left Knee; Mensicus Tear
10,,,,,"Jones, Tyus",Out,Injury/Illness - Right Knee; Soreness
11,,,,,"Winslow, Justise",Out,Injury/Illness - Left Hip; Displacement
12,,,,Oklahoma City Thunder,"Adams, Steven",Questionable,Injury/Illness - Left Lower Leg; Contusion
13,,,,,"Ferguson, Terrance",Questionable,Injury/Illness - Right Lower Leg; Contusion
14,,,,,"Muscala, Mike",Out,Injury/Illness - N/A; Concussion Protocol
15,,,,,"Schroder, Dennis",Out,Personal Reasons
16,,05:00 (ET),SAC@BKN,Brooklyn Nets,"Allen, Jarrett",Questionable,Injury/Illness - Left Ankle; Sprain
17,,,,,"Crawford, Jamal",Out,Injury/Illness - Left Hamstring; Strain
18,,,,,"Harris, Joe",Questionable,Injury/Illness - Left Groin; Contusion
19,,,,Sacramento Kings,"Bagley III, Marvin",Out,Injury/Illness - Right Foot; Sprain
20,,,,,"Bazemore, Kent",Questionable,Injury/Illness - Left Calf; Soreness
21,,,,,"Holmes, Richaun",Questionable,Injury/Illness - Right Hip; Soreness
22,,06:30 (ET),ORL@PHI,Orlando Magic,"Carter-Williams, Michael",Out,Injury/Illness - Left Foot; Strained Tendon
23,,,,,"Gordon, Aaron",Out,Injury/Illness - Left Hamstring; Strain
24,,,,,"Isaac, Jonathan",Out,Injury/Illness - Left Knee; Torn ACL
25,,,,Philadelphia 76ers,"Robinson III, Glenn",Out,Injury/Illness - Left hip; pointer
26,,,,,"Scott, Mike",Available,Injury/Illness - Right Knee; soreness
0,,,,,"Simmons, Ben",Out,Injury/Illness - Left knee; patella sublaxation
1,,08:00 (ET),WAS@NOP,New Orleans Pelicans,"Williamson, Zion",Out,Rest
2,,,,Washington Wizards,"Mathews, Garrison",Out,Not With Team
3,,09:00 (ET),BOS@TOR,Toronto Raptors,"Brissett, Oshae",Questionable,Injury/Illness - Right Knee; soreness
4,,,,,"McCaw, Patrick",Out,Injury/Illness - Left Knee; soreness
5,08/08/2020,01:00 (ET),LAC@POR,LA Clippers,,,NOT YET SUBMITTED
6,,,,Portland Trail Blazers,,,NOT YET SUBMITTED
7,,03:30 (ET),UTA@DEN,Denver Nuggets,,,NOT YET SUBMITTED
8,,,,Utah Jazz,,,NOT YET SUBMITTED
9,,06:00 (ET),LAL@IND,Indiana Pacers,,,NOT YET SUBMITTED
10,,,,Los Angeles Lakers,,,NOT YET SUBMITTED
11,,07:30 (ET),PHX@MIA,Miami Heat,,,NOT YET SUBMITTED
12,,,,Phoenix Suns,,,NOT YET SUBMITTED
13,,08:30 (ET),MIL@DAL,Dallas Mavericks,"Curry, Seth",Questionable,Injury/Illness - Right Leg; Soreness
14,,,,,"Finney-Smith, Dorian",Questionable,Injury/Illness - Left Hip; Strain
15,,,,,"Lee, Courtney",Out,Injury/Illness - Left Calf; Injury
16,,,,,"Powell, Dwight",Out,Injury/Illness - Right Achilles; Surgery
17,,,,Milwaukee Bucks,,,NOT YET SUBMITTED
